Class,Folder,Path
female_neutral,RAVDESS,03-01-01-01-01-01-02.wav
female_neutral,RAVDESS,03-01-02-02-01-01-02.wav
female_neutral,RAVDESS,03-01-02-01-01-01-02.wav
female_neutral,RAVDESS,03-01-02-02-02-01-02.wav
female_neutral,RAVDESS,03-01-01-01-02-02-02.wav
female_neutral,RAVDESS,03-01-01-01-01-02-02.wav
female_neutral,RAVDESS,03-01-02-02-01-02-02.wav
female_neutral,RAVDESS,03-01-02-01-02-02-02.wav
female_neutral,RAVDESS,03-01-02-01-01-02-02.wav
female_neutral,RAVDESS,03-01-01-01-02-01-02.wav
female_neutral,RAVDESS,03-01-02-02-02-02-02.wav
female_neutral,RAVDESS,03-01-02-01-02-01-02.wav
female_neutral,RAVDESS,03-01-01-01-02-01-04.wav
female_neutral,RAVDESS,03-01-02-02-01-01-04.wav
female_neutral,RAVDESS,03-01-02-01-01-02-04.wav
female_neutral,RAVDESS,03-01-02-01-02-01-04.wav
female_neutral,RAVDESS,03-01-02-02-01-02-04.wav
female_neutral,RAVDESS,03-01-02-01-01-01-04.wav
female_neutral,RAVDESS,03-01-02-01-02-02-04.wav
female_neutral,RAVDESS,03-01-01-01-01-02-04.wav
female_neutral,RAVDESS,03-01-02-02-02-02-04.wav
female_neutral,RAVDESS,03-01-01-01-02-02-04.wav
female_neutral,RAVDESS,03-01-02-02-02-01-04.wav
female_neutral,RAVDESS,03-01-01-01-01-01-04.wav
female_neutral,RAVDESS,03-01-02-02-01-01-06.wav
female_neutral,RAVDESS,03-01-02-02-02-01-06.wav
female_neutral,RAVDESS,03-01-02-02-02-02-06.wav
female_neutral,RAVDESS,03-01-02-01-01-01-06.wav
female_neutral,RAVDESS,03-01-01-01-02-01-06.wav
female_neutral,RAVDESS,03-01-01-01-01-01-06.wav
female_neutral,RAVDESS,03-01-01-01-02-02-06.wav
female_neutral,RAVDESS,03-01-01-01-01-02-06.wav
female_neutral,RAVDESS,03-01-02-02-01-02-06.wav
female_neutral,RAVDESS,03-01-02-01-02-01-06.wav
female_neutral,RAVDESS,03-01-02-01-02-02-06.wav
female_neutral,RAVDESS,03-01-02-01-01-02-06.wav
female_neutral,RAVDESS,03-01-02-01-01-01-08.wav
female_neutral,RAVDESS,03-01-02-02-02-01-08.wav
female_neutral,RAVDESS,03-01-01-01-01-01-08.wav
