Class,Folder,Path
male_disgust,SAVEE,JK_d15.wav
male_disgust,SAVEE,DC_d01.wav
male_disgust,SAVEE,KL_d04.wav
male_disgust,SAVEE,JE_d07.wav
male_disgust,SAVEE,JK_d06.wav
male_disgust,SAVEE,KL_d08.wav
male_disgust,SAVEE,JK_d04.wav
male_disgust,SAVEE,JE_d08.wav
male_disgust,SAVEE,JE_d13.wav
male_disgust,SAVEE,JE_d09.wav
male_disgust,SAVEE,DC_d13.wav
male_disgust,SAVEE,KL_d02.wav
male_disgust,SAVEE,DC_d10.wav
male_disgust,SAVEE,DC_d09.wav
male_disgust,SAVEE,KL_d14.wav
male_disgust,SAVEE,JE_d11.wav
male_disgust,SAVEE,DC_d14.wav
male_disgust,SAVEE,JK_d02.wav
male_disgust,SAVEE,DC_d06.wav
male_disgust,SAVEE,KL_d05.wav
male_disgust,SAVEE,KL_d11.wav
male_disgust,SAVEE,DC_d05.wav
male_disgust,SAVEE,KL_d07.wav
male_disgust,SAVEE,JE_d12.wav
male_disgust,SAVEE,JK_d12.wav
male_disgust,SAVEE,JK_d01.wav
male_disgust,SAVEE,KL_d01.wav
male_disgust,SAVEE,KL_d10.wav
male_disgust,SAVEE,DC_d08.wav
male_disgust,SAVEE,JE_d05.wav
male_disgust,SAVEE,JK_d05.wav
male_disgust,SAVEE,JE_d01.wav
male_disgust,SAVEE,KL_d09.wav
male_disgust,SAVEE,JK_d03.wav
male_disgust,SAVEE,KL_d13.wav
male_disgust,SAVEE,KL_d12.wav
male_disgust,SAVEE,KL_d15.wav
male_disgust,SAVEE,KL_d03.wav
male_disgust,SAVEE,JE_d15.wav
male_disgust,SAVEE,DC_d07.wav
male_disgust,SAVEE,JK_d07.wav
male_disgust,SAVEE,DC_d04.wav
male_disgust,SAVEE,DC_d15.wav
male_disgust,SAVEE,JE_d03.wav
male_disgust,SAVEE,JK_d13.wav
male_disgust,SAVEE,JE_d10.wav
male_disgust,SAVEE,JE_d14.wav
male_disgust,SAVEE,JE_d06.wav
male_disgust,SAVEE,JK_d10.wav
male_disgust,SAVEE,DC_d12.wav
male_disgust,SAVEE,JK_d08.wav
male_disgust,SAVEE,JK_d09.wav
male_disgust,SAVEE,DC_d11.wav
male_disgust,SAVEE,DC_d02.wav
male_disgust,SAVEE,JK_d11.wav
male_disgust,SAVEE,JK_d14.wav
male_disgust,SAVEE,DC_d03.wav
male_disgust,SAVEE,JE_d04.wav
male_disgust,SAVEE,JE_d02.wav
male_disgust,SAVEE,KL_d06.wav
male_disgust,RAVDESS,03-01-07-01-01-02-01.wav
male_disgust,RAVDESS,03-01-07-01-02-01-01.wav
male_disgust,RAVDESS,03-01-07-01-01-01-01.wav
male_disgust,RAVDESS,03-01-07-02-02-02-01.wav
male_disgust,RAVDESS,03-01-07-02-02-01-01.wav
male_disgust,RAVDESS,03-01-07-02-01-02-01.wav
male_disgust,RAVDESS,03-01-07-01-02-02-01.wav
male_disgust,RAVDESS,03-01-07-02-01-01-01.wav
male_disgust,RAVDESS,03-01-07-01-02-01-03.wav
male_disgust,RAVDESS,03-01-07-01-01-01-03.wav
male_disgust,RAVDESS,03-01-07-02-02-01-03.wav
male_disgust,RAVDESS,03-01-07-01-02-02-03.wav
male_disgust,RAVDESS,03-01-07-01-01-02-03.wav
male_disgust,RAVDESS,03-01-07-02-01-02-03.wav
male_disgust,RAVDESS,03-01-07-02-02-02-03.wav
male_disgust,RAVDESS,03-01-07-02-01-01-03.wav
male_disgust,RAVDESS,03-01-07-01-02-01-05.wav
male_disgust,RAVDESS,03-01-07-01-01-02-05.wav
male_disgust,RAVDESS,03-01-07-01-01-01-05.wav
male_disgust,RAVDESS,03-01-07-02-01-01-05.wav
