outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart
2365587456,0.0,0.0,0.0,0.0,36.363636,0.0,0.0,0.0,0.0,0.0,0.0
2667577344,5.9923655e-05,0.0003781583,0.0,0.0,36.363636,3.4611843,0.0,0.09425237,0.0,7.150185e-05,0.0
16777216,0.00034835417,0.0024587854,0.0,0.0,36.363636,1.2424147,0.0,0.10204697,0.0,0.0030907397,0.0
654311424,0.001405214,0.009358198,0.0,0.0,36.363636,1.2465765,0.0,0.11268033,0.0,0.046724144,0.0
1258291200,0.0035393725,0.021443332,0.0,0.0,36.363636,3.530528,0.0,0.13130276,0.0,0.2742962,0.0
2701131776,0.0051493845,0.01838905,0.0,0.0,36.363636,3.6051693,0.0,0.1655821,0.0,0.42965993,0.0
754974720,0.00393604,-0.03290679,0.0,0.0,36.363636,1.7570943,0.0,0.10417819,0.0,0.9496053,0.0
1124073472,-0.0006690603,-0.11418903,0.0,0.0,36.363636,1.7459695,0.0,0.109445065,0.0,7.4216924,0.0
1426063360,-0.008191191,-0.14125453,46.875,94.921875,36.363636,0.030484641,5.859375,0.119835004,0.0,17.027029,0.0
620756992,-0.01811891,-0.06588198,50.390625,96.09375,36.363636,0.041407406,7.03125,0.13210543,0.0,18.345896,0.0
1191182336,-0.029522255,0.057238236,53.90625,99.609375,36.363636,0.09138063,7.03125,0.11985125,0.0,19.06671,0.0
3472883712,-0.041049723,0.14281847,58.59375,99.609375,36.363636,0.1383112,11.71875,0.1263622,0.0,28.311932,0.0
2667577344,-0.051689513,0.16261089,114.84375,118.359375,36.363636,0.18213871,16.40625,0.13785397,0.0,40.117485,0.0
2097152000,-0.06096161,0.13816185,118.359375,118.359375,36.363636,0.8102003,21.09375,0.1465766,0.0,47.655956,0.0
3472883712,-0.06838687,0.0949363,118.359375,127.734375,36.363636,2.8942327,21.09375,0.14863177,0.0,49.77961,0.0
16777216,-0.073350385,0.04915084,119.53125,128.90625,36.363636,0.23477553,21.09375,0.14776719,0.0,48.49853,0.0
4076863488,-0.07583143,0.008549765,119.53125,128.90625,36.363636,0.27707902,21.09375,0.14954703,0.0,46.110153,0.0
3976200192,-0.076735854,-0.03481725,119.53125,128.90625,36.363636,0.32344905,21.09375,0.15535712,0.0,44.410763,0.0
1459617792,-0.076962724,-0.090906225,119.53125,128.90625,36.363636,0.37408596,21.09375,0.16371809,0.0,46.322197,0.0
1358954496,-0.07666659,-0.1402989,119.53125,128.90625,36.363636,0.42870602,21.09375,0.1728193,0.0,53.847977,0.0
4110417920,-0.07491925,-0.13931243,119.53125,128.90625,36.363636,0.4872008,21.09375,0.1825301,0.0,60.859554,0.0
1426063360,-0.07024193,-0.06860479,119.53125,128.90625,36.363636,0.54973793,16.40625,0.19330177,0.0,60.169884,0.0
822083584,-0.06182769,0.03096575,119.53125,128.90625,36.363636,0.61577284,11.71875,0.20713174,0.0,57.64083,0.0
1627389952,-0.049627095,0.085519895,119.53125,128.90625,36.363636,0.681877,10.546875,0.22614369,0.0,58.41561,0.0
285212672,-0.034445405,0.05678741,119.53125,128.90625,36.363636,0.74002403,7.03125,0.24786496,0.0,57.107235,0.0
2868903936,-0.018596828,-0.03334684,119.53125,128.90625,36.363636,0.7789901,7.03125,0.26742893,0.0,54.807877,0.0
1291845632,-0.0045575798,-0.13543867,119.53125,127.734375,36.363636,0.79015076,5.859375,0.28342447,0.0,61.239304,0.0
2332033024,0.0071654916,-0.19076991,119.53125,127.734375,36.363636,0.77125764,5.859375,0.29998928,0.0,76.37392,0.0
3640655872,0.017364949,-0.14685968,119.53125,126.5625,36.363636,0.7254047,5.859375,0.31680518,0.0,83.3391,0.0
2566914048,0.026806146,-0.012391984,119.53125,123.046875,36.363636,0.658753,5.859375,0.3247646,0.0,79.24892,0.0
1124073472,0.036230743,0.12852958,117.1875,117.1875,36.363636,0.578472,5.859375,0.32116234,0.0,83.546394,0.0
1761607680,0.046317816,0.19521673,113.671875,113.671875,36.363636,3.6422663,5.859375,0.31785738,0.0,98.42387,0.0
3472883712,0.057376117,0.17967938,113.671875,113.671875,36.363636,1.6903751,5.859375,0.32115063,0.0,109.64502,0.0
2332033024,0.06858274,0.120988026,113.671875,113.671875,36.363636,1.4388022,5.859375,0.32563892,0.0,111.48182,0.0
2298478592,0.078557014,0.046538536,112.5,113.671875,36.363636,1.666863,5.859375,0.32841447,0.0,106.99064,0.0
1023410176,0.08607349,-0.031448238,112.5,113.671875,36.363636,1.895593,5.859375,0.33259907,0.0,102.1356,0.0
2432696320,0.08897692,-0.098436095,112.5,113.671875,36.363636,2.0843422,5.859375,0.34266677,0.0,101.87365,0.0
3070230528,0.084648505,-0.14809757,112.5,113.671875,36.363636,2.6388118,5.859375,0.3579902,0.0,107.746414,0.0
3707764736,0.07178672,-0.1738394,111.328125,113.671875,36.363636,2.7198803,5.859375,0.37432647,0.0,117.46916,0.0
1459617792,0.05612223,-0.11157639,110.15625,113.671875,36.363636,3.3165019,23.4375,0.387245,0.0,117.82034,0.0
