slice_file_name,fsID,start,end,salience,fold,classID,class
100648-1-0-0.wav,100648.0,4.823402,5.471927,2,0,1,car horn
100648-1-1-0.wav,100648.0,8.998279,10.052132,2,0,1,car horn
100648-1-2-0.wav,100648.0,16.699509,17.104837,2,0,1,car horn
100648-1-3-0.wav,100648.0,17.631764,19.253075,2,0,1,car horn
100648-1-4-0.wav,100648.0,25.332994,27.197502,2,0,1,car horn
100852-0-0-0.wav,100852.0,0.0,4.0,1,1,2,air conditioner
100852-0-0-1.wav,100852.0,0.5,4.5,1,1,2,air conditioner
100852-0-0-10.wav,100852.0,5.0,9.0,1,1,2,air conditioner
100852-0-0-11.wav,100852.0,5.5,9.5,1,1,2,air conditioner
100852-0-0-12.wav,100852.0,6.0,10.0,1,1,2,air conditioner
100852-0-0-13.wav,100852.0,6.5,10.5,1,1,2,air conditioner
100852-0-0-14.wav,100852.0,7.0,11.0,1,1,2,air conditioner
100852-0-0-15.wav,100852.0,7.5,11.5,1,1,2,air conditioner
100852-0-0-16.wav,100852.0,8.0,12.0,1,1,2,air conditioner
100852-0-0-17.wav,100852.0,8.5,12.5,1,1,2,air conditioner
100852-0-0-18.wav,100852.0,9.0,13.0,1,1,2,air conditioner
100852-0-0-19.wav,100852.0,9.5,13.5,1,1,2,air conditioner
100852-0-0-2.wav,100852.0,1.0,5.0,1,1,2,air conditioner
100852-0-0-20.wav,100852.0,10.0,14.0,1,1,2,air conditioner
100852-0-0-21.wav,100852.0,10.5,14.5,1,1,2,air conditioner
100852-0-0-22.wav,100852.0,11.0,15.0,1,1,2,air conditioner
100852-0-0-23.wav,100852.0,11.5,15.5,1,1,2,air conditioner
100852-0-0-24.wav,100852.0,12.0,16.0,1,1,2,air conditioner
100852-0-0-25.wav,100852.0,12.5,16.5,1,1,2,air conditioner
100852-0-0-26.wav,100852.0,13.0,17.0,1,1,2,air conditioner
100852-0-0-27.wav,100852.0,13.5,17.5,1,1,2,air conditioner
100852-0-0-28.wav,100852.0,14.0,18.0,1,1,2,air conditioner
100852-0-0-29.wav,100852.0,14.5,18.5,1,1,2,air conditioner
100852-0-0-3.wav,100852.0,1.5,5.5,1,1,2,air conditioner
100852-0-0-30.wav,100852.0,15.0,19.0,1,1,2,air conditioner
100852-0-0-4.wav,100852.0,2.0,6.0,1,1,2,air conditioner
100852-0-0-5.wav,100852.0,2.5,6.5,1,1,2,air conditioner
100852-0-0-6.wav,100852.0,3.0,7.0,1,1,2,air conditioner
100852-0-0-7.wav,100852.0,3.5,7.5,1,1,2,air conditioner
100852-0-0-8.wav,100852.0,4.0,8.0,1,1,2,air conditioner
100852-0-0-9.wav,100852.0,4.5,8.5,1,1,2,air conditioner
101729-0-0-1.wav,101729.0,0.5,4.5,2,1,2,air conditioner
101729-0-0-11.wav,101729.0,5.5,9.5,2,1,2,air conditioner
101729-0-0-12.wav,101729.0,6.0,10.0,2,1,2,air conditioner
101729-0-0-13.wav,101729.0,6.5,10.5,2,1,2,air conditioner
101729-0-0-14.wav,101729.0,7.0,11.0,2,1,2,air conditioner
101729-0-0-16.wav,101729.0,8.0,12.0,2,1,2,air conditioner
101729-0-0-17.wav,101729.0,8.5,12.5,2,1,2,air conditioner
101729-0-0-18.wav,101729.0,9.0,13.0,2,1,2,air conditioner
101729-0-0-19.wav,101729.0,9.5,13.5,2,1,2,air conditioner
101729-0-0-21.wav,101729.0,10.5,14.5,2,1,2,air conditioner
101729-0-0-22.wav,101729.0,11.0,15.0,2,1,2,air conditioner
101729-0-0-23.wav,101729.0,11.5,15.5,2,1,2,air conditioner
101729-0-0-24.wav,101729.0,12.0,16.0,2,1,2,air conditioner
101729-0-0-26.wav,101729.0,13.0,17.0,2,1,2,air conditioner
101729-0-0-28.wav,101729.0,14.0,18.0,2,1,2,air conditioner
101729-0-0-29.wav,101729.0,14.5,18.5,2,1,2,air conditioner
101729-0-0-3.wav,101729.0,1.5,5.5,2,1,2,air conditioner
101729-0-0-32.wav,101729.0,16.0,20.0,2,1,2,air conditioner
101729-0-0-33.wav,101729.0,16.5,20.5,2,1,2,air conditioner
101729-0-0-36.wav,101729.0,18.0,22.0,2,1,2,air conditioner
101729-0-0-37.wav,101729.0,18.5,22.5,2,1,2,air conditioner
101729-0-0-38.wav,101729.0,19.0,23.0,2,1,2,air conditioner
101729-0-0-39.wav,101729.0,19.5,23.5,2,1,2,air conditioner
101729-0-0-4.wav,101729.0,2.0,6.0,2,1,2,air conditioner
101729-0-0-40.wav,101729.0,20.0,24.0,2,1,2,air conditioner
101729-0-0-6.wav,101729.0,3.0,7.0,2,1,2,air conditioner
101729-0-0-9.wav,101729.0,4.5,8.5,2,1,2,air conditioner
102857-5-0-0.wav,102857.0,0.0,4.0,1,2,3,engine idling
102857-5-0-1.wav,102857.0,0.5,4.5,1,2,3,engine idling
102857-5-0-10.wav,102857.0,5.0,9.0,1,2,3,engine idling
102857-5-0-11.wav,102857.0,5.5,9.5,1,2,3,engine idling
